Scene,Credit Estimate,Cost (Euros)
775c7747-e9aa-4b62-ae2c-864e4187a744,14958,149.58
84c8319e-b4ed-4545-b6f0-4d1e8d892cf3,14670,146.7
1b5b8a3b-332f-439e-b437-5d6b91b4956b,14562,145.62
345d8a62-d91c-412c-97e9-c790ffef72bc,14544,145.44
408958c2-18b0-4bac-b356-d3bc228516fc,14472,144.72
f1436243-70b7-49a9-8aaa-25f4e239bc1d,16704,167.04
1024182c-172b-4dd7-afeb-729cac13ab52,14832,148.32
a71e31b7-f8df-4bbb-9a71-0613d0879a61,15462,154.62
208ea680-1a79-45ca-9dd3-43bec606204c,11502,115.02
152a68a0-c1a7-479f-9f1f-c5e9e20f35c5,468,4.68
